Method,r,R,Unit,Formula_r,Formula_R,Number_of_Decimals,Lower_Limit,Upper_Limit,Notes,,,,
D5191-22 (250 mL),0.13,0.23,psi,,,,4,,Us,150,,,
D5191-22 (1 L),,,psi,(0.006*(avg+23.2)),(0.01014*(avg+23.2)),2,4,,"Use DVPE, psi results",200,,,
D2622-21,,,mg/kg,(0.1402 * avg**0.8495),(0.4273 * avg**0.815),4,,,Sulfur measurement for petroleum products,,,,
D56-22 LT,,,°C,(0.0685 * (avg - 20)),(0.0318 * (avg + 60)),4,,,Low temperature flash point test method,,,,
D56-22 HT,1.6,5.8,°C,,,,4,,High temperature flash point test method,93,,,
D93-20 A,,,°C,(0.029 * avg),(0.071 * avg),4,,,Procedure A for D93-20,,,,
D93-20 B (Residual Fuel Oil),2,6,°C,,,,4,,Procedure B for residual fuel oil,100,,,
D93-20 B (Other Types),5,10,°C,,,,4,,Procedure B for other types,100,,,
D93-20 C,8.4,14.7,°C,,,,4,,Procedure C for D93-20,100,,,
D97-17b (Lubricating Oil),6,9,°C,,,,4,,Lubricating oil pour point test method,-51,,,
D97-17b (Middle Distillate and Residual Fuel),3,9,°C,,,,4,,Middle distillate and residual fuel pour point test method,-51,,,
D2386-19,1.5,2.5,°C,,,,4,,Freezing point test method for aviation fuels,-40,,,
D2500-23 (Diesel Fuels),2,4,°C,,,,4,,General diesel fuel cloud point test method,-1,,,
D2500-23 (Biodiesel Blends),3,5,°C,,,,4,,Blends of biodiesel in diesel cloud point test method,16,,,
D5949-16 (1 °C Interval - Model 70),1.6,3.2,°C,,,,4,,Model 70 with 1 °C interval,-11,,,
D5949-16 (1 °C Interval - Models 30 50 and 70),2.9,6.2,°C,,,,4,, Model 70 with 1 °C interval,-51,,,50
D5949-16 (3 °C Interval - Model 70),2.2,3.8,°C,,,,4,,Model 70 with 3 °C interval,-11,,,
D5949-16 (3 °C Interval - Models 30 50 and 70),4.1,6.3,°C,,,,4,, Model 70 with 3 °C interval,-51,,,50
D5773-21 (General),1.3,2.5,°C,,,,4,,General cloud point test method,34,,,
D5773-21 (Biodiesel Fuels),,,°C,(0.017 * (27 - avg)),(0.063 * (27 - avg)),4,,,Blends of biodiesel in diesel cloud point test method,,,,
D5972-23,0.5,0.8,°C,,,,4,,Freezing point test method,-40,,,
D6371-17a,,,°C,(0.102 * (25 - avg)),,,,4,Cold filter plugging point (CFPP) test method,,,,
D1840-22,,,%,(0.056 * avg**0.6),(0.094 * avg**0.6),4,,,Naphthalene hydrocarbon measurement method,,,,
D5188-16,0.6,0.9,°C,,,,4,,Vapor-liquid ratio measurement method for gasoline-oxygenate blends,,,,
D4294-21 (mg/kg),,,mg/kg,(0.4347 * avg**0.6446),(1.9182 * avg**0.6446),4,,,Sulfur measurement in mg/kg total sulfur,,,,
D4294-21 (mass%),,,mass%,(0.4347 * ((avg * 10000) **0.6446)/10000),(1.9182 * ((avg * 10000)**0.6446)/10000),4,,,Sulfur measurement in mass percent total sulfur,,,Sulfur measurement in mass percent total sulfur,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Parameter,Formula (psi),Formula (kPa),,,,,,
,,,,,Repeatability (r),r = ,r = 0.006 _ (DVPE + 160),,,,,,
,,,,,Reproducibility (R),R = ,R = 0.01014 _ (DVPE + 160),,,,,,
